  Extremum      Xbgn      Xend    Thread
   -0.7187        76    73.465         3
  -0.82611        51    54.936         2
   -1.0096         1   -3.0241         0
  -0.96728        77    72.976         3
  -0.63749        52    48.647         2
  -0.44229         2   -2.0241         0
   -1.0235        26     22.27         1
  -0.91354        78     79.21         3
  -0.90516        53        53         2
   -1.0235        27    22.976         1
  -0.96032         3         3         0
  -0.91354        79        79         3
  -0.93345        28        28         1
  -0.90516        54    53.754         2
  -0.91354        80    79.922         3
  -0.96032         4     3.896         0
  -0.93345        29    28.595         1
  -0.90516        55    53.749         2
  -0.91354        81    79.482         3
  -0.93456         5    9.6343         0
  -0.90516        56    53.454         2
  -0.13377        82    80.928         3
  -0.91721        30    35.666         1
   0.51617         6   -1.3772         0
  -0.91354        83    79.706         3
  -0.72549        31    29.928         1
  -0.95198        57    60.936         2
   -0.6219         7    4.9608         0
  -0.91354        84    79.976         3
  -0.93345        32    28.674         1
  -0.23911        58    61.936         2
  -0.96032         8    3.9759         0
  -0.96923        85        85         3
  -0.93345        33    28.976         1
  -0.95198        59    60.613         2
  -0.93456         9         9         0
  -0.96923        86    85.588         3
  -0.91721        34    35.985         1
  -0.95198        60        60         2
  -0.93456        10      9.32         0
   -1.0182        87    91.634         3
  -0.91721        35        35         1
  -0.95198        61    60.751         2
  -0.86137        11    10.602         0
  -0.13377        88    80.623         3
  -0.91721        36    35.322         1
   -1.0019        62    66.247         2
  -0.92674        12    16.351         0
  -0.96923        89    85.674         3
  -0.91721        37    35.632         1
   -1.0019        63    66.936         2
  -0.86137        13    10.961         0
  -0.96923        90    85.976         3
  -0.96788        38    41.936         1
  -0.53099        64    67.936         2
  -0.93456        14    9.9759         0
   -1.0182        91        91         3
  -0.91721        39    35.674         1
  -0.92674        15    16.985         0
   -1.0182        92    91.832         3
  -0.95198        65    60.976         2
  -0.91721        40    35.976         1
  -0.92674        16        16         0
   -1.0182        93     91.93         3
  -0.96788        41        41         1
   -1.0019        66        66         2
  -0.92674        17    16.602         0
  -0.35524        94    86.623         3
  -0.96788        42    41.502         1
   -1.0019        67    66.459         2
   -1.0235        18    22.441         0
  -0.79545        95    98.936         3
   -1.0086        43     47.74         1
   -0.7187        68    73.921         2
   -1.0235        19    22.936         0
   -1.0182        96    91.976         3
  -0.12881        44    36.623         1
  -0.96728        69    72.936         2
  -0.92674        20    16.336         0
  -0.90897        97        97         3
  -0.63749        45    48.936         1
  -0.96728        70    72.756         2
   -1.0235        21    22.241         0
  -0.90897        98    97.861         3
   -1.0086        46    47.237         1
  -0.55464        71    65.383         2
   -1.0235        22        22         0
  -0.90897        99    97.974         3
   -1.0086        47        47         1
   -1.0235        23    22.861         0
  -0.96728        72        72         2
  -0.65338       100    92.623         3
   -1.0086        48    47.602         1
  -0.96728        73    72.754         2
  -0.72549        24    29.958         0
   -1.0086        49    47.976         1
  -0.96728        74    72.754         2
  -0.54807        25    23.928         0
  -0.63749        50    48.928         1
   -1.0019        75    66.737         2
Min Extremum = -1.0235
