  Extremum      Xbgn      Xend    Thread
  -0.96032         1    3.5967         0
  -0.96032         2    3.9079         0
  -0.96032         3         3         0
  -0.96032         4    3.3037         0
  -0.86137         5    10.897         0
  -0.93456         6    9.2931         0
  -0.93456         7    9.5967         0
  -0.93456         8    9.9079         0
  -0.93456         9         9         0
  -0.93456        10    9.3037         0
  -0.93456        11    9.4721         0
  -0.92674        12    16.178         0
  -0.92674        13    16.293         0
  -0.92674        14    16.597         0
  -0.73128        15        15         0
  -0.92674        16        16         0
  -0.92674        17    16.304         0
   -1.0235        18    22.178         0
   -1.0235        19    22.293         0
   -1.0235        20    22.597         0
  -0.57466        21        21         0
   -1.0235        22        22         0
   -1.0235        23    22.304         0
  -0.72549        24    29.897         0
  -0.93345        25    28.293         0
  -0.93345        26    28.597         0
  -0.93345        27    28.908         0
  -0.93345        28        28         0
  -0.93345        29    28.304         0
  -0.91721        30    35.897         0
  -0.91721        31    35.178         0
  -0.91721        32    35.293         0
  -0.91721        33    35.597         0
  -0.87516        34        34         0
  -0.91721        35        35         0
  -0.91721        36    35.304         0
  -0.96788        37    41.178         0
  -0.96788        38    41.293         0
  -0.96788        39    41.597         0
  -0.64392        40        40         0
  -0.96788        41        41         0
  -0.96788        42    41.304         0
  -0.63749        43    48.897         0
   -1.0086        44    47.293         0
   -1.0086        45    47.597         0
   -1.0086        46    47.908         0
   -1.0086        47        47         0
   -1.0086        48    47.304         0
  -0.82611        49    54.897         0
  -0.90516        50    53.293         0
  -0.90516        51    53.597         0
  -0.90516        52    53.908         0
  -0.90516        53        53         0
  -0.90516        54    53.304         0
  -0.90516        55    53.472         0
  -0.95198        56    60.178         0
  -0.95198        57    60.293         0
  -0.95198        58    60.597         0
   -0.7875        59        59         0
  -0.95198        60        60         0
  -0.95198        61    60.304         0
   -1.0019        62    66.178         0
   -1.0019        63    66.293         0
   -1.0019        64    66.597         0
  -0.55464        65        65         0
   -1.0019        66        66         0
   -1.0019        67    66.304         0
   -0.7187        68    73.897         0
  -0.96728        69    72.293         0
  -0.96728        70    72.597         0
  -0.96728        71    72.908         0
  -0.96728        72        72         0
  -0.96728        73    72.304         0
  -0.91354        74    79.897         0
  -0.91354        75    79.178         0
  -0.91354        76    79.293         0
  -0.91354        77    79.597         0
  -0.86687        78        78         0
  -0.91354        79        79         0
  -0.91354        80    79.304         0
  -0.96923        81    85.178         0
  -0.96923        82    85.293         0
  -0.96923        83    85.597         0
  -0.67923        84        84         0
  -0.96923        85        85         0
  -0.96923        86    85.304         0
  -0.65338        87    92.897         0
   -1.0182        88    91.293         0
   -1.0182        89    91.597         0
   -1.0182        90    91.908         0
   -1.0182        91        91         0
   -1.0182        92    91.304         0
  -0.79545        93    98.897         0
  -0.90897        94    97.293         0
  -0.90897        95    97.597         0
  -0.90897        96    97.908         0
  -0.90897        97        97         0
  -0.90897        98    97.304         0
  -0.90897        99    97.472         0
  -0.97792       100    104.18         0
Min Extremum = -1.0235
